WKT,WorkAreaId,StartTime,StopTime,AreaQM,DeviceId,AppliedValue,MinGpsFix
"MULTIPOLYGON (((12.116302453006 51.7283462477326,12.1158132870519 51.7282349430289,12.1157912877546 51.7282715592565,12.1157587953714 51.7283224390957,12.1157332356616 51.7283657152704,12.1157044918428 51.7284098542724,12.1156294481873 51.7285305871604,12.1155674883243 51.7286247701377,12.115489853962 51.7287467433398,12.1154574484181 51.72880146995,12.1154017844067 51.7288852810257,12.1153688288804 51.7289388302364,12.115348001914 51.7289691190649,12.1152577903219 51.7291124472392,12.1152248637421 51.7291717396431,12.1151853952659 51.7292381503711,12.1151812703977 51.7292431116273,12.1151670576938 51.7292660844005,12.1150964428441 51.7293869431175,12.1150690739814 51.7294395216476,12.1150590295654 51.7294706014009,12.115057307252 51.7294721113484,12.1150545573399 51.7294717877883,12.1150547889114 51.7294888915392,12.1155518282982 51.729568433418,12.1155649699837 51.7295546191957,12.115561597723 51.7295539720753,12.1155657515376 51.7295462515698,12.1155674449046 51.7295389445023,12.1155651002427 51.7295385041009,12.1155855798517 51.7294984365646,12.1156522290385 51.7293840670269,12.1156753861936 51.7293482237486,12.1157179808857 51.7292762675585,12.115743960319 51.7292288300402,12.1158294102211 51.7290929077991,12.1158566054051 51.7290525975927,12.1158840321606 51.7290078114704,12.1159403040474 51.7289229937629,12.1159745476904 51.7288654629644,12.1160496202925 51.7287474264112,12.1161156471308 51.7286469250226,12.1161881290261 51.7285302366369,12.1162217069009 51.7284783232027,12.1162434890999 51.7284411677081,12.1162769656622 51.7283884993002,12.116302453006 51.7283462477326)))",2,1599202670,1599202744,5304.53259382653,3,,2
"MULTIPOLYGON (((12.1170744500152 51.727089331981,12.1165896684534 51.7269707111964,12.1165498681997 51.7270357827588,12.1165216027833 51.7270775400072,12.1164628720818 51.7271695659364,12.1164311766071 51.7272153227492,12.1163713893897 51.7273072588005,12.1163319943751 51.7273736156162,12.11630481442 51.7274266974736,12.1162472415441 51.7275161798597,12.1161901317984 51.7276124300478,12.1161610269583 51.7276577734224,12.1161377836102 51.7276990543183,12.1160648550728 51.7278146911583,12.1160363580912 51.727863081392,12.1160177894638 51.727892075986,12.1159650360367 51.7279813157019,12.1159329932144 51.7280404733019,12.1158803555699 51.7281218307304,12.1158132870519 51.7282349430289,12.116302453006 51.7283462477326,12.1163207489943 51.7283159578957,12.1163204161195 51.7283158770056,12.1163643555994 51.7282416379027,12.1164255466803 51.7281459898961,12.1164443034543 51.7281126811654,12.1164543765367 51.7280924586495,12.1165033236122 51.7280094564563,12.1165273774382 51.7279715549675,12.116549926091 51.727932808627,12.1166283253542 51.7278080851365,12.1166458374658 51.7277762863536,12.1166801525208 51.7277224315467,12.1167315020844 51.7276355735938,12.1167995677545 51.7275281515891,12.1168188889685 51.7274915443414,12.11682053887 51.7274860707804,12.1168569524838 51.7274245044541,12.1169115439589 51.7273406124702,12.1169475233882 51.727288357489,12.1170034318899 51.7272006726598,12.1170369943583 51.7271506106982,12.1170744500152 51.727089331981)))",3,1599202744,1599202817,5404.68754495235,3,,2
"MULTIPOLYGON (((12.1172633746167 51.7267548818476,12.1166820046853 51.7268204926799,12.1166532907708 51.7268699075232,12.1166086713161 51.7269405874664,12.1166081937157 51.7269404706252,12.1165896684534 51.7269707111964,12.1170744500152 51.727089331981,12.1171439745188 51.7269786956759,12.1171818207317 51.7269129590146,12.1172061349334 51.7268648743635,12.1172186683255 51.7268439777628,12.1172237627297 51.7268321138863,12.1172490031868 51.72679245079,12.1172556895922 51.7267787264419,12.1172607405782 51.7267652897029,12.1172633746167 51.7267548818476)))",4,1599202817,1599202836,1034.22134868255,3,,2
"MULTIPOLYGON (((12.1172668480741 51.7267216989445,12.1172655889458 51.7267078038285,12.1172625641433 51.7266931896896,12.1172577302485 51.7266783238928,12.1172521003529 51.7266654354088,12.1172376855048 51.7266420671671,12.1172269177868 51.7266284686481,12.1172144857039 51.7266151936892,12.1169675373559 51.7267431707634,12.1169479412671 51.726751852964,12.1169410522432 51.7267531472051,12.1168565314466 51.7267466759997,12.1167735302877 51.7267347492086,12.1167322685084 51.7267279364674,12.1167299528701 51.7267289430994,12.1167215152632 51.7267471343767,12.1167133815838 51.7267597532272,12.1166820046853 51.7268204926799,12.1167854854184 51.7268088143033,12.116800420637 51.7268180030634,12.1168131132292 51.7268132844762,12.1168224915642 51.7268178862222,12.1168346197196 51.7268127092579,12.1168449677281 51.7268169874437,12.1168840442058 51.7267976913956,12.1172633746167 51.7267548818476,12.1172643298175 51.7267511249534,12.1172665152011 51.7267354592437,12.1172668336014 51.7267217079322,12.1172668480741 51.7267216989445)))",5,1599202836,1599202838,352.380614090189,3,,2
"MULTIPOLYGON (((12.1172145912574 51.7266152636026,12.1172008421638 51.7266029323611,12.1171818394692 51.7265883361978,12.1171646748113 51.7265773081853,12.1171455273893 51.7265670081833,12.1171171029474 51.7265539579191,12.1170988238893 51.7265469204832,12.1170909941423 51.7265444758056,12.117021250056 51.726725840325,12.1172145912574 51.7266152636026)))",6,1599202838,1599202841,110.93402937031,3,,2
"MULTIPOLYGON (((12.1170909941423 51.7265444758056,12.1170680795092 51.7265373484656,12.1170427379989 51.7265310480276,12.1170426077455 51.726531030052,12.1170230552724 51.7265280191437,12.1170182503715 51.7265286842399,12.1170064841534 51.726527461901,12.116978016563 51.7265225635577,12.1168856235293 51.7265025926973,12.1167388569637 51.7264732745395,12.116626694368 51.7264477582152,12.1165528117808 51.7264298994845,12.1164334273611 51.7264059110838,12.1161793754637 51.7263525595864,12.1160426673503 51.7263259557399,12.1159175373112 51.726300088892,12.1157355878721 51.7262595809407,12.1156134536598 51.7262357543201,12.115466802875 51.7262044498616,12.11505090397 51.7261204769775,12.1148801563179 51.7264261695533,12.1153056216068 51.7265121287382,12.1154830411243 51.7265497695858,12.1155569526567 51.7265633950693,12.1157409861493 51.72660451419,12.1158730051426 51.7266318819982,12.1160231872401 51.7266612361072,12.1162621297504 51.7267114958062,12.1163857980576 51.7267363829855,12.1164329497656 51.7267481929363,12.1165578771883 51.7267766932055,12.1166946576647 51.7268039891115,12.1167346454392 51.7267270087248,12.1168379073902 51.7267489568981,12.116842466257 51.7267404274892,12.1168552745018 51.7267434653609,12.116893597928 51.726750385956,12.1169165514605 51.7267536664979,12.1169450479961 51.7267566414551,12.1168448687074 51.7268169225355,12.1168555350085 51.7268206434788,12.1168774175691 51.7268081145052,12.1168886048835 51.7268109456578,12.1169814320949 51.72674862435,12.117021250056 51.726725840325,12.1170909941423 51.7265444758056)))",7,1599202841,1599202915,5231.27918761996,3,,2
"MULTIPOLYGON (((12.11505090397 51.7261204769775,12.1149639092135 51.7261026901491,12.1148938184457 51.7260869794992,12.1148404724679 51.726076364924,12.1148152322657 51.726070486912,12.1148138863145 51.7260716463364,12.1148107312893 51.7260710082036,12.1147934654858 51.7260660199824,12.1147922932058 51.7260667749564,12.1147789350025 51.7260627304527,12.1147755628883 51.7260626495626,12.1147538539988 51.7260567176239,12.1145681851033 51.7263597048762,12.1145738004693 51.726360343009,12.1145760726664 51.7263615743357,12.1145862758445 51.7263641088913,12.1145985486034 51.7263662839355,12.1146003576775 51.7263675871645,12.1146162196394 51.7263702835003,12.1146200548765 51.7263721259964,12.1146250913389 51.7263732225063,12.1147016658285 51.7263881062798,12.1147891526531 51.7264075109097,12.1148306745224 51.726416022343,12.1148306021595 51.7264161661476,12.1148801563179 51.7264261695533,12.11505090397 51.7261204769775)))",8,1599202915,1599202930,801.379619178496,3,,2
"MULTIPOLYGON (((12.1147950148682 51.7260637779865,12.1147695431334 51.7260549070417,12.1147500630454 51.7260499457838,12.1147434201328 51.7260674360154,12.1147518721175 51.7260694762429,12.1147554034261 51.7260607580904,12.11476559212 51.7260635532919,12.1147902099728 51.7260722624565,12.1147950148682 51.7260637779865)))",9,1599202935,1599202938,3.98019692210916,3,,2
"MULTIPOLYGON (((12.1145962054727 51.7263053659268,12.1145957568227 51.7263045120872,12.1145947726872 51.726304853623,12.1145892441617 51.7263030830292,12.1144723491332 51.7263387735275,12.1144827838634 51.7263451278922,12.1144988773723 51.72635244395,12.1145258542614 51.7263616744062,12.1145264910549 51.726361305907,12.114551123386 51.7263663210916,12.1145516878167 51.7263658986656,12.1145800974911 51.7263695746701,12.1145877100682 51.726361935052,12.1145610949936 51.7263589331315,12.1145697206513 51.7263525518034,12.1145557256665 51.7263506284172,12.1145658564724 51.7263442920281,12.1145588372712 51.7263430607014,12.1145794172799 51.7263314574696,12.1145640908177 51.726327997172,12.1145872469457 51.7263173376578,12.1145831946233 51.7263166006594,12.1145944108727 51.7263118371328,12.1145848444974 51.726309347516,12.1145962054727 51.7263053659268)))",10,1599202939,1599202942,27.6298578711006,3,,2
"MULTIPOLYGON (((12.114605239758 51.7262929663919,12.1145915776367 51.7262956627277,12.114456331319 51.7263279378672,12.114472381417 51.7263395051478,12.1146022728779 51.7262998600238,12.1146022584053 51.7262993207566,12.1145924170467 51.726295986288,12.114605239758 51.7262929663919)))",11,1599202942,1599202943,11.7746607794234,3,,2
"MULTIPOLYGON (((12.114652288521 51.7262343294471,12.1144204955922 51.726180789206,12.1144199022161 51.7261840787357,12.1144157920019 51.7261911251599,12.1144102345291 51.7262133429669,12.1144080925864 51.7262269055359,12.1144076149911 51.7262513343382,12.1146232709872 51.7262666675011,12.1146238933083 51.7262646452493,12.1146208251202 51.7262538868695,12.1146349648362 51.7262556844266,12.1146349937814 51.7262368999539,12.1146486269569 51.7262399108622,12.114652288521 51.7262343294471)))",12,1599202946,1599202951,94.2114571182161,3,,2
"MULTIPOLYGON (((12.1146288612112 51.7262539965826,12.1146151122575 51.726251210369,12.1146124637749 51.7262546347154,12.1146261693108 51.7262575018192,12.1146288612112 51.7262539965826)))",13,1599202959,1599202960,0.423738841427702,3,,2
"MULTIPOLYGON (((12.114830803357 51.7264190940859,12.1145762305638 51.7263545887459,12.1145786330131 51.7263525125673,12.114565202453 51.7263492140499,12.1145727426704 51.7263439382195,12.1145780975274 51.7263380691953,12.1145850154236 51.7263323709389,12.1145889230219 51.7263246594186,12.1146028745952 51.7263270321941,12.1146038442584 51.7263225742522,12.1146021364933 51.7263083196236,12.1145886190976 51.7263050840207,12.1145888651316 51.7262954491141,12.11460200624 51.7262991520819,12.1146074334598 51.726287935325,12.1146118331261 51.7262834234565,12.1146243084955 51.7262740671712,12.1146280134776 51.7262699687408,12.1144135297484 51.7262159521471,12.1144160190333 51.726215116283,12.1144025016376 51.7262119076434,12.1143991584702 51.7262128603487,12.1143972336162 51.7262152510998,12.1143943969893 51.7262165902799,12.1143924431901 51.7262160600005,12.1143901420489 51.7262171654982,12.1143842082885 51.7262239063377,12.1143779706038 51.7262359949098,12.1143724565484 51.7262535210925,12.114367188527 51.7262807900352,12.1143638019418 51.7262914585371,12.1143620507589 51.7262935706668,12.1143577958185 51.7262937683981,12.1143541631993 51.7262965186606,12.1143459717155 51.7262949637737,12.114342035172 51.7263030527811,12.1143409786732 51.7263027741597,12.1143394011613 51.7263051649108,12.1143384604432 51.7263085892572,12.1148151874364 51.726437024719,12.1148175030502 51.7264358203556,12.1148167360031 51.7264349485404,12.1148205712385 51.7264310927802,12.1148214251211 51.7264296187833,12.1148198910269 51.7264291873696,12.114830803357 51.7264190940859)))",14,1599202960,1599202969,234.407890555326,3,,2
"MULTIPOLYGON (((12.1148182092023 51.7264349026962,12.1143391799873 51.7263076626123,12.1143385142469 51.7263084984763,12.114817500044 51.7264358194504,12.1148182092023 51.7264349026962)))",15,1599202970,1599202970,3.89998558099846,3,,2
"MULTIPOLYGON (((12.1148385569288 51.7264111748637,12.11478361887 51.726399832278,12.1147811440522 51.7264035801847,12.114484281707 51.7263403421236,12.1143411619852 51.7263073929007,12.114338556914 51.7263200836543,12.1148247934688 51.726427739353,12.1148336507112 51.7264208726846,12.1148317113804 51.7264203334175,12.1148385569288 51.7264111748637)))",16,1599202972,1599202974,51.7872757471471,3,,2
"MULTIPOLYGON (((12.1143728433094 51.7262842674194,12.1143591811644 51.7262813194256,12.114351973804 51.7262923114878,12.1143655635859 51.7262954122739,12.1143728433094 51.7262842674194)))",17,1599202974,1599202975,1.32810629161283,3,,2
"MULTIPOLYGON (((12.1146283005832 51.7262669704976,12.1144111249293 51.7262170882854,12.1144221240961 51.7261985285073,12.1144085488087 51.7261954097456,12.1143974917515 51.7262140594015,12.1146146674054 51.7262639236381,12.1146118741959 51.7262686602013,12.1146254494834 51.7262717789631,12.1146283005832 51.7262669704976)))",18,1599202979,1599202980,2.92617099889449,3,,2
"MULTIPOLYGON (((12.1156344327981 51.725057447176,12.1151445208366 51.7249473737366,12.1151221179146 51.7249861650296,12.1150885858924 51.7250408377439,12.1150528975166 51.7251055048784,12.1150254438066 51.725149482125,12.1149269606771 51.7253145428513,12.1149154842449 51.7253358978355,12.1148813443915 51.7254054273634,12.1148692456558 51.7254238882799,12.1148226163181 51.7255018393651,12.1147704586107 51.7255963819069,12.1147384895831 51.7256588380456,12.1146974899203 51.7257283316222,12.1146468228466 51.7258187577571,12.1145472398321 51.72597395888,12.1144925494947 51.7260561342255,12.11446419851 51.7261015764816,12.1144224752386 51.7261729125548,12.1144165705925 51.7261814150022,12.1146466347084 51.7262355664248,12.1146550575124 51.7262228307293,12.1146930759079 51.7261576512908,12.1147202257022 51.7261140425435,12.1147496186833 51.7260695440052,12.11473620298 51.7260661645969,12.1147444521179 51.7260530873654,12.1148512856905 51.7260808146913,12.1148521974374 51.7260793946208,12.1149722875194 51.7261106900986,12.1149755871746 51.7261063310214,12.1150023751647 51.7261131347769,12.115006108985 51.7261079398355,12.1150195681048 51.7261112743048,12.11511449108 51.7259648182996,12.1151391227165 51.7259246788385,12.1151869821888 51.7258391510481,12.1152347982446 51.7257572812873,12.1152636991718 51.7257005773329,12.1153118191432 51.7256131531192,12.1153788976597 51.7255014259268,12.1154165542509 51.7254251735336,12.1155460367724 51.7252098980358,12.1155755165865 51.7251559173812,12.1156138244254 51.7250931556577,12.1156344327981 51.725057447176)))",19,1599202981,1599203051,4870.68275699271,3,,2
"MULTIPOLYGON (((12.1163675107415 51.7237879523436,12.1158809555078 51.7236720907435,12.1158621132689 51.7237053186029,12.1157881046592 51.7238268335229,12.1157266575422 51.7239355318544,12.1157088427987 51.7239638164293,12.1156661945052 51.7240400508636,12.1156247763119 51.724108879359,12.1155540093777 51.7242357959407,12.1155161512387 51.7242989531406,12.1154890022063 51.7243502913967,12.1154489298872 51.7244151293134,12.1153114191698 51.7246467446601,12.1152799430794 51.7247047338808,12.1152646174796 51.7247353822445,12.115222533585 51.7248061610903,12.1151783078691 51.7248898823536,12.1151623744551 51.7249169805402,12.1151621139633 51.7249169266135,12.1151445208366 51.7249473737366,12.1156344327981 51.725057447176,12.1156735751057 51.7249903209061,12.1157070048844 51.7249261121348,12.115760883268 51.72483389741,12.1157994071082 51.7247600806912,12.1159354995926 51.7245307662187,12.1159837484594 51.724451727594,12.1160049640678 51.7244108960643,12.116047076906 51.7243403149499,12.1161151520917 51.724217856312,12.1161498843293 51.7241606220656,12.1161969320395 51.7240769727047,12.1162186975751 51.7240418933605,12.1162747467235 51.7239423715625,12.1163542690759 51.7238114644021,12.1163675107415 51.7237879523436)))",20,1599203051,1599203123,5414.59394284505,3,,2
