run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
MvSc5-0-20210405-20:27:37-19333,runattr,,,configname,MvSc5,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,datetime,20210405-20:27:37,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,experiment,MvSc5,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,inifile,mvsc3.ini,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,iterationvars,,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,iterationvarsf,,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,measurement,,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,network,mvsc_network5,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,processid,19333,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,repetition,0,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,replication,#0,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,resultdir,results,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,runnumber,0,,,
MvSc5-0-20210405-20:27:37-19333,runattr,,,seedset,0,,,
